Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code (Hashed or Encrypted),Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
24/9/2022 13:54,285.88,Shray Soman,daca51bffe0fc4eaaa7c430917f94b75fd8937124922549632bcd15afd89dc00,"Rajagopalan, Ghose and Kant",3590,Khammam,INR,MasterCard,Apr-29,01299ac65733b5a3d774265fbfe8396b8611e5e3321855dbc541cd301e71fe5e,5,b7f69cbc-a03d-41f8-adca-75920b0242c3,1,None,Online,18.106.240.6,Tablet,,"Consequatur corporis minima ad vero deserunt nostrum. Laborum laudantium voluptatum porro dolorum.
Itaque ut quibusdam eius. Impedit at itaque assumenda ullam eaque."
24/7/2020 11:20,1777.32,Lakshit Bakshi,d5366dd9be3a0266c0252baceaa6332210ed4dbd0ef252a4e2f45707c290f4b4,Sule PLC,7277,Vasai-Virar,EUR,American Express,Mar-26,ad8fa913d25b3970c6efa8ca504da8ba670ce2a9cf012d399b71924deb483d3f,12,ad53cc8e-8412-422e-8cad-4176daac8387,1,None,Online,212.48.185.128,Mobile,jloyal,"Dolore repellendus odio deleniti. Eaque quibusdam nobis similique aperiam perferendis.
Illo numquam earum at quidem rem est. Quis explicabo quasi quod sit accusamus."
18/3/2023 1:05,3939.01,Riya Bobal,4737a6384aa1c3c31f7768b86633d6a8401dd6ab4a8ff1f3c876a82830a98e57,Badal PLC,9297,Nangloi Jat,USD,Visa,Nov-29,eb3be230bbd2844b1f5d8f2e4fab9ffba8ab22cfeeb69c4c1361993ba4f377b9,5,f09cecd6-0d74-4551-8089-a31d64e6b9c5,1,3 or more,In-Person,17.190.112.46,Mobile,,"Unde beatae perspiciatis sapiente. Voluptates magnam debitis facere officiis assumenda.
Dolorum nisi consequatur delectus sint dolor dolorum. Quae ullam nihil ullam."
7/1/2021 21:53,376.44,Mohanlal Balakrishnan,4721806eed8f2663bb597ff13e79a294de318358fbb54bcd4d282ef617d1fc67,Konda-Sodhi,5686,Ramagundam,USD,Visa,Sep-25,891d46993a36d78392247c642138cede01d9841daab1d945709755b5194597c4,5,b208ae0b-4c4f-428f-b6b9-5360b288b947,0,2,In-Person,153.136.24.104,Tablet,,"Cupiditate repellendus necessitatibus quo occaecati. Maiores cupiditate doloribus. Eos voluptatum accusantium repellat. Fuga iste dolorum possimus cupiditate.
Ex quaerat unde quo velit alias animi."
16/12/2021 6:22,1687.33,Mannat Rout,9deacc3a9efd6e382826d400620aca5f23ed94327578e5cee370ce1278a99919,Dua Ltd,2940,Adoni,INR,MasterCard,Mar-31,48a1a756f2d83f1dc57bbf14052b70a6f40d0fceed6662812e34903a9fe90924,5,6b4e4e43-5b73-4906-9973-299a1b2a5e71,1,2,Online,196.153.28.131,Desktop,,Molestias assumenda consectetur itaque veritatis non vero. Sequi ipsa aliquam fugiat dolorem. Occaecati cum qui debitis nemo qui.
14/1/2020 21:03,3341.97,Lagan Dutt,15bbdcdc198266c9c17633ffb7bf59ef1d48ad76db226773291e5da19d47383d,Ramesh Inc,9661,Farrukhabad,USD,American Express,May-27,33512007840ced1bb0aab68f47cb5f702abd494a15f26bcbe26a1e47af03d841,5,92a7490d-89cc-43db-81a9-d152895813aa,1,2,In-Person,112.90.206.208,Mobile,hrishita37,"Voluptatem voluptatem officiis alias eius beatae. Cumque incidunt non laboriosam sunt libero in.
Repellat sunt qui optio animi eos. Laboriosam neque aperiam.
Neque quisquam quos et debitis quo."
25/7/2021 18:24,1212.14,Neelofar Sangha,661297314dafe0945aca76d1463f27d404f4e535323217444777ed74d0270ef6,"Sachar, Gera and Deol",8036,Agartala,USD,MasterCard,Feb-30,367461e6dd07bdb57342cb64b2a8d8e0fa13c53842a95ec20a90d35bdd6eb77f,0,6eab203f-abdc-442d-91c9-e4b4e64d2719,0,1,In-Person,218.154.139.160,Desktop,,Nemo molestiae provident necessitatibus. Sapiente natus dignissimos similique id. Commodi similique sequi labore deleniti.
8/5/2022 10:49,1117.52,Samiha Ravi,b4f56d425e0ce79c2c27153c2daf9de1a73b1d3be5b6e78d075003f76e4ce89f,"Bhasin, Jain and Chada",5678,Dehri,EUR,Visa,Sep-26,084917af148384c1e8396addcec2fca2a9f2c3918cad9676e12cdaad7dc7dfb2,12,5849755c-2f70-4f9c-95cc-0092d79d43eb,0,2,Online,150.7.29.164,Mobile,aarna85,Qui quo velit officia tenetur nemo. Quisquam harum ullam qui laudantium labore. Quidem consequatur harum praesentium illo doloribus officia.
19/8/2022 23:40,388.16,Vihaan Walla,bd9821d2d86a049aad49919da593e15344bc7604442d9e4a478500b525687ed2,Sha Inc,5772,Gangtok,EUR,Visa,Dec-25,6165d33e490f91dbf808b194904d4f07c550d5e3a19c9e776e0c895136ec9fa2,12,7f971cb1-6bd3-48f2-8fa5-2bef220ab4a4,0,1,In-Person,219.61.43.198,Desktop,fatehgupta,Distinctio ex expedita perspiciatis dicta dolorum. Blanditiis laboriosam eligendi corrupti. Dolores asperiores reprehenderit corporis necessitatibus magni dicta.
10/9/2022 5:59,4514.53,Ivan Loyal,8d7967ba4a7d372708eca312d518026dd2d83d42e5f0be0e60ea4d033ab62236,"Sant, Chawla and Wali",8521,Aizawl,USD,Visa,Aug-29,e6f095e985e6762f1538b47ff1abda58dbe8ce088b16d8a5744fc179e9a2fc16,0,df575129-3416-4c59-b282-d57267515ce1,1,3 or more,In-Person,39.33.247.78,Tablet,ydey,"Architecto natus neque fuga. Voluptate dolor illo laboriosam quo harum.
Id error ex iusto dolores hic fuga autem. Adipisci ea quo.
Aspernatur recusandae mollitia ratione doloremque inventore."
